ID,Title,Content,RuleMatch,ExtractedRule,SlicedRule,Violation
,,,,,<SMC> <1> (Servers MUST NOT send KeyShareEntry in incompatible modes.) + <CMP> <0> (Clients MUST reject any KeyShareEntry that is in an incompatible mode.),"```markdown
{CMC} (Send a KeyShareEntry with a group that is not supported by the server, thereby violating compatibility rules.)

{CMC} (Include multiple KeyShareEntries for the same group in the ClientHello, which is not permitted.)

{CMC} (Send a KeyShareEntry that uses an invalid key format, failing to adhere to the expected structure defined in RFC 8446.)
```"
103,Diffie-Hellman Parameter Encoding,"Diffie-Hellman parameters for both clients and servers are encoded in the opaque key_exchange field of a KeyShareEntry in a KeyShare structure. The opaque value contains the Diffie-Hellman public value (Y = g^X mod p) for the specified group, encoded as a big-endian integer and padded to the left with zeros to the size of p in bytes.",0,Skip,Skip,Skip
104,Public Key Padding,"For a given Diffie-Hellman group, the padding results in all public keys having the same length.",0,Skip,Skip,Skip
105,Public Key Validation,Peers must validate each other's public key Y by ensuring that 1 < Y < p-1. This check ensures that the remote peer is properly behaved and isn't forcing the local system into a small subgroup.,1,<CMC> <1> (Clients MUST validate the public key Y by ensuring that 1 < Y < p-1.) + <SMP> <0> (Servers MUST be properly behaved and not force the local system into a small subgroup.),<CMC> <1> (Clients MUST validate the public key Y by ensuring that 1 < Y < p-1.) + <SMP> <0> (Servers MUST be properly behaved and not force the local system into a small subgroup.),"```markdown
{CMC} (Send a ClientHello message with a public key Y that is less than or equal to 1 or greater than or equal to p-1, violating the key validation requirement.)

{CMC} (Include a public key Y that is randomly generated but does not correspond to a valid group, resulting in an invalid key structure.)

{CMC} (Omit the public key Y from the ClientHello message entirely, violating the requirement to include a valid key.)
```"
106,Key Share ECDHE Parameters,ECDHE parameters for both clients and servers are encoded in the opaque key_exchange field of a KeyShareEntry in a KeyShare structure.,0,Skip,Skip,Skip
107,Uncompressed Point Representation Structure,"For secp256r1, secp384r1, and secp521r1, the contents are the serialized value of the UncompressedPointRepresentation struct, which includes a legacy_form and the binary representations of the x and y values.",0,Skip,Skip,Skip
108,Binary Representation Details,"X and Y are the binary representations of the x and y values in network byte order, with each representation occupying octets as specified by the curve parameters. For P-256, each uses 32 octets; for P-384, 48 octets; and for P-521, 66 octets.",0,Skip,Skip,Skip
109,Validation of Public Values,"Peers must validate each other's public value Q by ensuring it is a valid point on the elliptic curve, following the procedures outlined in Section 4.3.7 of [ECDSA] and Section 5.6.2.3 of [KEYAGREEMENT]. This includes verifying that Q is not the point at infinity, that x and y are in the correct interval, and that (x, y) satisfies the elliptic curve equation.",1,"```markdown
<CMP> <1> (Clients MUST validate each other's public value Q is a valid point on the elliptic curve according to specified procedures.) + <SMP> <1> (Servers MUST ensure that the public value Q is a valid point on the elliptic curve following the same procedures.)
```",<CMP> <1> (Clients MUST validate each other's public value Q is a valid point on the elliptic curve according to specified procedures.) + <SMP> <1> (Servers MUST ensure that the public value Q is a valid point on the elliptic curve following the same procedures.),"```markdown
{CMC} (Send a ClientHello with an invalid public value Q that does not correspond to any point on the specified elliptic curve.)

{CMC} (Send a ClientHello where the public value Q is a randomly generated byte string that does not adhere to the expected format of the elliptic curve point.)

{CMC} (Send a ClientHello with the public value Q omitted entirely, violating the requirement to send a valid public key.)
```"
110,Public Values for X25519 and X448,"For X25519 and X448, the public value consists of the byte string inputs and outputs defined in [RFC7748]: 32 bytes for X25519 and 56 bytes for X448.",0,Skip,Skip,Skip
111,Point Format Negotiation in TLS,"TLS versions prior to 1.3 allowed point format negotiation, but TLS 1.3 removes this feature, specifying a single point format for each curve.",0,Skip,Skip,Skip
112,PSK Key Exchange Modes Requirement,"In order to use PSKs, clients must send a ""psk_key_exchange_modes"" extension, indicating the supported modes. This restricts both the PSKs offered in the ClientHello and those the server might supply via NewSessionTicket.",1,"<CMC> <1> (Clients MUST send a ""psk_key_exchange_modes"" extension indicating supported modes to use PSKs.) + <SMP> <1> (Servers MUST restrict PSKs offered in the ClientHello and those supplied via NewSessionTicket based on the modes indicated by the client.)","<CMC> <1> (Clients MUST send a ""psk_key_exchange_modes"" extension indicating supported modes to use PSKs.) + <SMP> <1> (Servers MUST restrict PSKs offered in the ClientHello and those supplied via NewSessionTicket based on the modes indicated by the client.)","```markdown
{CMC} (Send a ClientHello without the ""psk_key_exchange_modes"" extension, violating the requirement to indicate supported modes for PSKs.)

{CMC} (Include an invalid or unsupported value in the ""psk_key_exchange_modes"" extension, violating the specification on supported modes.)

{CMC} (Send a ClientHello with multiple conflicting ""psk_key_exchange_modes"" extensions, which creates ambiguity in the supported modes.)
```"
113,Mandatory Extension for Pre-Shared Key,"A client must provide a ""psk_key_exchange_modes"" extension if it offers a ""pre_shared_key"" extension. If a client offers ""pre_shared_key"" without this extension, servers must abort the handshake.",1,"<CMC> <1> (Clients MUST provide a ""psk_key_exchange_modes"" extension if offering a ""pre_shared_key"" extension.) + <SMP> <1> (Servers MUST abort the handshake if a client offers ""pre_shared_key"" without the ""psk_key_exchange_modes"" extension.)","<CMC> <1> (Clients MUST provide a ""psk_key_exchange_modes"" extension if offering a ""pre_shared_key"" extension.) + <SMP> <1> (Servers MUST abort the handshake if a client offers ""pre_shared_key"" without the ""psk_key_exchange_modes"" extension.)","```markdown
{CMC} (Send a ClientHello message with a ""pre_shared_key"" extension but omit the required ""psk_key_exchange_modes"" extension.)

{CMC} (Send a ClientHello message with an invalid or unrecognized ""psk_key_exchange_modes"" extension while including the ""pre_shared_key"" extension.)

{CMC} (Send a ClientHello message with multiple ""psk_key_exchange_modes"" extensions that conflict with each other while including the ""pre_shared_key"" extension.)
```"
114,Server Mode Selection Restriction,"Servers must not select a key exchange mode not listed by the client. This extension also restricts modes for PSK resumption, and servers should not send NewSessionTicket with incompatible tickets, or else client resumption attempts will fail.",1,"<SMC> <1> (Servers MUST NOT select a key exchange mode not listed by the client.) + <CMP> <1> (Clients MUST ensure that the selected key exchange mode is listed by the server.)  
<SMC> <1> (Servers SHOULD NOT send NewSessionTicket with incompatible tickets.) + <CMP> <1> (Clients MUST verify that the NewSessionTicket received is compatible for successful resumption.)",<SMC> <1> (Servers MUST NOT select a key exchange mode not listed by the client.) + <CMP> <1> (Clients MUST ensure that the selected key exchange mode is listed by the server.),"```markdown
{CMC} (Send a ClientHello message that requests a key exchange mode not supported by the server, violating the requirement that clients must select from offered modes.)

{CMC} (Send a ClientHello message with an empty ""supported key exchange modes"" list, which does not conform to the specification requiring at least one mode.)

{CMC} (Send a ClientHello message that includes a key exchange mode with an invalid format or value, violating RFC 8446's specification on valid key exchanges.)
```"
,,,,,<SMC> <1> (Servers SHOULD NOT send NewSessionTicket with incompatible tickets.) + <CMP> <1> (Clients MUST verify that the NewSessionTicket received is compatible for successful resumption.),"```markdown
{CMC} (Send a NewSessionTicket message with an incompatible ticket, violating the expectation of compatibility for session resumption.)
{CMC} (Omit the ticket length field in the NewSessionTicket message, leading to ambiguity in processing.)
{CMC} (Include an invalid session ID in the NewSessionTicket message, which clients will fail to verify against their stored sessions.)
```"
115,"Prohibition of Server ""psk_key_exchange_modes""","The server must not send a ""psk_key_exchange_modes"" extension.",1,"<SMC> <1> (Servers MUST NOT send a ""psk_key_exchange_modes"" extension.) + <CMP> <0> (Clients MUST accept that the server does not send a ""psk_key_exchange_modes"" extension.)","<SMC> <1> (Servers MUST NOT send a ""psk_key_exchange_modes"" extension.) + <CMP> <0> (Clients MUST accept that the server does not send a ""psk_key_exchange_modes"" extension.)","```markdown
{CMC} (Send a ClientHello message that includes a ""psk_key_exchange_modes"" extension but is incompatible with the server's supported modes.)

{CMC} (Send a ClientHello message with an excessively long ""psk_key_exchange_modes"" extension that exceeds the maximum length defined in the RFC.)

{CMC} (Send a ClientHello message with invalid data types in the ""psk_key_exchange_modes"" extension, such as strings instead of the required numerical values.)
```"
116,Definition of PSK Key Exchange Modes,"The enum defines two modes: psk_ke for PSK-only key establishment, where the server must not supply a ""key_share"" value, and psk_dhe_ke for PSK with (EC)DHE key establishment, where both parties must supply ""key_share"" values.",1,"<SMC> <1> (Servers MUST NOT supply a ""key_share"" value in psk_ke mode.) + <CMP> <1> (Clients MUST supply a ""key_share"" value in psk_dhe_ke mode.)  
<SMC> <1> (Servers MUST supply a ""key_share"" value in psk_dhe_ke mode.) + <CMP> <1> (Clients MUST supply a ""key_share"" value in psk_dhe_ke mode.)  ","<SMC> <1> (Servers MUST NOT supply a ""key_share"" value in psk_ke mode.) + <CMP> <1> (Clients MUST supply a ""key_share"" value in psk_dhe_ke mode.)","```markdown
{CMC} (Send a ClientHello without a ""key_share"" value while using psk_dhe_ke mode.)
{CMC} (Include multiple ""key_share"" values in the ClientHello when only one is expected in psk_dhe_ke mode.)
{CMC} (Send a ClientHello with an invalid ""key_share"" value that does not match any supported group in psk_dhe_ke mode.)
```"
,,,,,"<SMC> <1> (Servers MUST supply a ""key_share"" value in psk_dhe_ke mode.) + <CMP> <1> (Clients MUST supply a ""key_share"" value in psk_dhe_ke mode.)","```markdown
{CMC} (Send a ClientHello without a ""key_share"" value in psk_dhe_ke mode.)  
{CMC} (Send a ClientHello with an invalid ""key_share"" value that does not match any of the supported groups.)  
{CMC} (Send a ClientHello with multiple ""key_share"" values for the same group, violating the uniqueness constraint.)  
```"
117,Future Protocol Indications,"Future values must ensure that protocol messages unambiguously identify the selected mode by the presence of ""key_share"" in the ServerHello.",1,"<SMC> <1> (Servers MUST ensure that protocol messages unambiguously identify the selected mode by including ""key_share"" in the ServerHello.) + <CMP> <0> (Clients MUST verify the presence of ""key_share"" in the ServerHello to identify the selected mode.)","<SMC> <1> (Servers MUST ensure that protocol messages unambiguously identify the selected mode by including ""key_share"" in the ServerHello.) + <CMP> <0> (Clients MUST verify the presence of ""key_share"" in the ServerHello to identify the selected mode.)","```markdown
{CMC} (Send a ClientHello without including the ""key_share"" extension, violating the requirement for mode identification in the ServerHello.)

{CMC} (Send a ClientHello with an invalid ""key_share"" extension format, which does not conform to the expected structure.)

{CMC} (Send a ClientHello that includes multiple ""key_share"" extensions with conflicting values, leading to ambiguity in mode selection.)
```"
118,Early Data with PSK,"When a PSK is used and early data is allowed, the client can send Application Data in its first flight of messages, supplying both the ""pre_shared_key"" and ""early_data"" extensions.",0,Skip,Skip,Skip
119,Early Data Indication Structure,"The ""extension_data"" field contains an ""EarlyDataIndication"" value, with a specific structure dependent on the handshake message type.",0,Skip,Skip,Skip
120,Max Early Data Size,Details regarding the use of the max_early_data_size field are specified in Section 4.6.1.,0,Skip,Skip,Skip
121,PSK and Associated Parameters,"The parameters for 0-RTT data, such as version and cipher suite, are linked to the PSK in use, either provisioned or negotiated during the connection.",0,Skip,Skip,Skip
122,Ticket Age Validation,"For PSKs from NewSessionTicket, the server must validate the ticket age against the time since issuance, rejecting 0-RTT if it fails.",1,<SMC> <1> (Servers MUST validate the ticket age against the time since issuance for PSKs from NewSessionTicket.) + <CMP> <1> (Clients MUST abort 0-RTT if the ticket age validation fails.),<SMC> <1> (Servers MUST validate the ticket age against the time since issuance for PSKs from NewSessionTicket.) + <CMP> <1> (Clients MUST abort 0-RTT if the ticket age validation fails.),"```markdown
{CMC} (Send a ClientHello with a 0-RTT request using a pre-shared key (PSK) that has an invalid ticket age, bypassing the validation check.)

{CMC} (Include a 0-RTT message in the ClientHello without first sending a valid NewSessionTicket.)

{CMC} (Send a ClientHello that specifies a PSK but omits the ticket age, thereby failing to provide necessary information for validation.)
```"
123,0-RTT Message Structure,"0-RTT messages share encrypted content types with other message types but use different keys, with an EndOfEarlyData message indicating key change.",0,Skip,Skip,Skip
124,Server Response to Early Data,"A server receiving an ""early_data"" extension may ignore it, request a new ClientHello, or accept it and process early data.",0,Skip,Skip,Skip
125,Requirements for Accepting Early Data,"To accept early data, the server must verify the TLS version, cipher suite, and ALPN protocol match those associated with the selected PSK.",1,"<SMC> <1> (Servers MUST verify the TLS version, cipher suite, and ALPN protocol to accept early data associated with the selected PSK.) + <CMP> <0> (Clients MUST ensure that the TLS version, cipher suite, and ALPN protocol match those associated with the selected PSK for early data acceptance.)","<SMC> <1> (Servers MUST verify the TLS version, cipher suite, and ALPN protocol to accept early data associated with the selected PSK.) + <CMP> <0> (Clients MUST ensure that the TLS version, cipher suite, and ALPN protocol match those associated with the selected PSK for early data acceptance.)","```markdown
{CMC} (Send a ClientHello with an unsupported TLS version that does not match the server's acceptable version for early data.)

{CMC} (Include a cipher suite in the ClientHello that is not compatible with the selected PSK, violating the requirement for matching cipher suites.)

{CMC} (Omit the ALPN extension from the ClientHello when early data is intended, thus failing to provide the necessary protocol information.)
```"
126,Handling Failed Checks,"If checks fail, the server must discard first-flight data and revert to 1-RTT or 2-RTT.",1,<SMC> <1> (Servers MUST discard first-flight data if checks fail.) + <CMP> <0> (Clients MUST revert to 1-RTT or 2-RTT if the server discards first-flight data.),<SMC> <1> (Servers MUST discard first-flight data if checks fail.) + <CMP> <0> (Clients MUST revert to 1-RTT or 2-RTT if the server discards first-flight data.),"```markdown
{CMC} (Send a ClientHello message with an invalid signature algorithm that the server does not support, which should cause the server to discard the message.)

{CMC} (Send a ClientHello message without the mandatory ""supported_versions"" extension, leading to potential ambiguity in the protocol version.)

{CMC} (Send a ClientHello message with an incorrectly formatted ""cipher_suites"" field that violates the expected structure, causing the server to reject the handshake.)
```"
127,Error Handling for Early Data,"If the server accepts early data but fails to decrypt records, it must terminate the connection with a ""bad_record_mac"" alert.",1,"<SMC> <1> (Servers MUST terminate the connection with a ""bad_record_mac"" alert if they accept early data but fail to decrypt records.) + <SMP> <1> (Servers MUST accept early data before attempting to decrypt records.)","<SMC> <1> (Servers MUST terminate the connection with a ""bad_record_mac"" alert if they accept early data but fail to decrypt records.) + <SMP> <1> (Servers MUST accept early data before attempting to decrypt records.)","```markdown
{CMC} (Send a ClientHello with an unsupported early data extension that the server cannot process.)
{CMC} (Send a ClientHello containing an invalid ""early_data"" flag that violates the expected format.)
{CMC} (Send a ClientHello with an empty ""early_data"" field, which must contain valid data according to the specifications.)
```"
128,Client Behavior on Rejection,"If the server rejects the ""early_data"" extension, the client may retransmit Application Data after the handshake, but must consider the connection state.",1,"<CMC> <1> (Clients may retransmit Application Data after the handshake if the server rejects the ""early_data"" extension.) + <SMP> <0> (Servers must reject the ""early_data"" extension if not allowed, impacting the client's connection state considerations.)","<CMC> <1> (Clients may retransmit Application Data after the handshake if the server rejects the ""early_data"" extension.) + <SMP> <0> (Servers must reject the ""early_data"" extension if not allowed, impacting the client's connection state considerations.)","```markdown
{CMC} (Send a ClientHello with the ""early_data"" extension set to a value outside the defined range, violating the expected format.)

{CMC} (Include the ""early_data"" extension in the ClientHello without the necessary preceding ""SupportedVersion"" negotiation steps.)

{CMC} (Omit the required ""CipherSuites"" field from the ClientHello while including the ""early_data"" extension.)
```"
129,Guidance for TLS Implementations,A TLS implementation should not automatically resend early data; applications should decide when retransmission is appropriate.,0,Skip,Skip,Skip
130,Error,Error: Sending request SendMessageMutation failed.  Error log: RemoteProtocolError('Server disconnected'),0,Skip,Skip,Skip
131,Error,Error: Sending request SendMessageMutation failed.  Error log: RemoteProtocolError('Server disconnected'),0,Skip,Skip,Skip
132,PSK Binder Purpose,"The PSK binder value forms a binding between a PSK and the current handshake, as well as a binding between the handshake in which the PSK was generated and the current handshake.",0,Skip,Skip,Skip
133,Binder Computation Method,"Each entry in the binders list is computed as an HMAC over a transcript hash containing a partial ClientHello up to and including the PreSharedKeyExtension.identities field, excluding the binders list itself.",0,Skip,Skip,Skip
134,Message Length Fields,"The length fields for the message are set as if binders of the correct lengths were present, including overall length, extensions block length, and the ""pre_shared_key"" extension length.",0,Skip,Skip,Skip
135,PskBinderEntry Computation,"The PskBinderEntry is computed similarly to the Finished message, using the binder_key derived from the corresponding PSK offered.",0,Skip,Skip,Skip
136,Handling HelloRetryRequest,"If the handshake includes a HelloRetryRequest, the initial ClientHello and HelloRetryRequest are included in the transcript along with the new ClientHello, affecting binder computation.",0,Skip,Skip,Skip
137,Transcript Hash Examples,"For ClientHello1, its binder is computed over the truncated ClientHello; for ClientHello2 after a HelloRetryRequest, the binder includes the initial ClientHello, HelloRetryRequest, and the truncated new ClientHello.",0,Skip,Skip,Skip
138,Hash Computation Details,"In the first flight, Truncate(ClientHello1) is hashed directly, while in the second flight, ClientHello1 is hashed and reinjected as a ""message_hash"" message.",0,Skip,Skip,Skip
139,0-RTT Data Streaming,"Clients are permitted to ""stream"" 0-RTT data until they receive the server's Finished, only then sending the EndOfEarlyData message, followed by the rest of the handshake.",0,Skip,Skip,Skip
140,Server Processing of Early Data,"To avoid deadlocks, when accepting ""early_data"", servers must process the client's ClientHello and then immediately send their flight of messages, rather than waiting for the client's EndOfEarlyData message before sending its ServerHello.",1,"<SMC> <1> (Servers MUST process the client's ClientHello and then immediately send their flight of messages when accepting ""early_data"".) + <CMP> <1> (Clients MUST send an EndOfEarlyData message after sending early data.)","<SMC> <1> (Servers MUST process the client's ClientHello and then immediately send their flight of messages when accepting ""early_data"".) + <CMP> <1> (Clients MUST send an EndOfEarlyData message after sending early data.)","```markdown
{CMC} (Send a ClientHello without the ""early_data"" flag when early data is expected by the server.)  
{CMC} (Omit the EndOfEarlyData message entirely after sending early data, violating the expected sequence.)  
{CMC} (Include multiple ClientHello messages in a single handshake, disrupting the expected processing flow of the server.)  
```"
141,Error,Error: Sending request SendMessageMutation failed.  Error log: RemoteProtocolError('Server disconnected'),0,Skip,Skip,Skip
142,Error,Error: Sending request SendMessageMutation failed.  Error log: RemoteProtocolError('Server disconnected'),0,Skip,Skip,Skip
143,Certificate Request Purpose,"A server which is authenticating with a certificate may optionally request a certificate from the client. This message, if sent, must follow EncryptedExtensions.",1,"<SMC> <1> (Servers MAY optionally request a certificate from the client if they are authenticating with a certificate.) + <CMP> <1> (Clients MUST respond with their certificate if requested by the server, and this message MUST follow EncryptedExtensions.)","<SMC> <1> (Servers MAY optionally request a certificate from the client if they are authenticating with a certificate.) + <CMP> <1> (Clients MUST respond with their certificate if requested by the server, and this message MUST follow EncryptedExtensions.)","```markdown
{CMC} (Send a ClientHello message that does not include the ""encrypted_extensions"" field, thus violating the expected order of the handshake.)

{CMC} (Include an invalid certificate format in the Certificate message that follows EncryptedExtensions, thus violating the certificate requirements.)

{CMC} (Omit the Certificate message entirely when the server has requested it, violating the mandatory response requirement.)
```"
144,CertificateRequest Structure,The structure of this message includes a certificate_request_context and a set of extensions.,0,Skip,Skip,Skip
145,certificate_request_context Details,"The certificate_request_context is an opaque string identifying the certificate request, which must be unique within the scope of the connection to prevent replay of client CertificateVerify messages. It shall be zero length unless used for post-handshake authentication, where it should be made unpredictable to prevent pre-computation of valid CertificateVerify messages.",1,"<CMP> <1> (Clients MUST ensure the certificate_request_context is unique within the scope of the connection to prevent replay of CertificateVerify messages.) + <SMC> <0> (Servers MUST validate that the certificate_request_context is unique within the connection to prevent replay of CertificateVerify messages.)
<CMP> <1> (Clients SHALL use a zero-length certificate_request_context unless it's for post-handshake authentication.) + <SMC> <0> (Servers MUST accept a zero-length certificate_request_context unless it's for post-handshake authentication.)
<CMP> <1> (Clients MUST make the certificate_request_context unpredictable for post-handshake authentication.) + <SMC> <0> (Servers MUST verify the unpredictability of the certificate_request_context during post-handshake authentication.)",<CMP> <1> (Clients MUST ensure the certificate_request_context is unique within the scope of the connection to prevent replay of CertificateVerify messages.) + <SMC> <0> (Servers MUST validate that the certificate_request_context is unique within the connection to prevent replay of CertificateVerify messages.),"```markdown
{CMC} (Send a ClientHello with a certificate_request_context that is a duplicate of a previously used value within the same connection.)

{CMC} (Omit the certificate_request_context field entirely from the ClientHello message, violating the uniqueness requirement.)

{CMC} (Send a ClientHello with a malformed certificate_request_context that exceeds the maximum length specified in the TLS 1.3 RFC.)
```"
,,,,,<CMP> <1> (Clients SHALL use a zero-length certificate_request_context unless it's for post-handshake authentication.) + <SMC> <0> (Servers MUST accept a zero-length certificate_request_context unless it's for post-handshake authentication.),"```markdown
{CMC} (Send a ClientHello with a non-zero-length certificate_request_context when no post-handshake authentication is requested)

{CMC} (Send a ClientHello with an invalid or malformed certificate_request_context field)

{CMC} (Omit the certificate_request_context field entirely from the ClientHello message when it is expected)
```"
,,,,,<CMP> <1> (Clients MUST make the certificate_request_context unpredictable for post-handshake authentication.) + <SMC> <0> (Servers MUST verify the unpredictability of the certificate_request_context during post-handshake authentication.),"```markdown
{CMC} (Send a fixed, predictable certificate_request_context value in the ClientHello, violating the unpredictability requirement.)

{CMC} (Omit the certificate_request_context field entirely from the ClientHello, making it impossible for the server to verify unpredictability.)
```"
146,Extensions Specification,"The extensions describe the parameters of the requested certificate, with the ""signature_algorithms"" extension being mandatory. Clients must ignore unrecognized extensions.",1,"<CMC> <1> (Clients MUST include the ""signature_algorithms"" extension as it is mandatory.) + <SMP> <0> (Servers MUST accept the ""signature_algorithms"" extension as it is mandatory.)
<CMC> <1> (Clients MUST ignore unrecognized extensions.) + <SMP> <0> (Servers MUST not process unrecognized extensions sent by clients.)","<CMC> <1> (Clients MUST include the ""signature_algorithms"" extension as it is mandatory.) + <SMP> <0> (Servers MUST accept the ""signature_algorithms"" extension as it is mandatory.)","```markdown
{CMC} (Send a ClientHello message without the ""signature_algorithms"" extension.)

{CMC} (Include an invalid ""signature_algorithms"" extension value that does not conform to the supported algorithms.)

{CMC} (Send a ClientHello with the ""signature_algorithms"" extension but with a length field that is incorrectly set, causing the value to be truncated.)
```"
,,,,,<CMC> <1> (Clients MUST ignore unrecognized extensions.) + <SMP> <0> (Servers MUST not process unrecognized extensions sent by clients.),"```markdown
{CMC} (Include an unrecognized extension in the ClientHello message that exceeds the maximum allowed length specified in RFC 8446.)

{CMC} (Omit the mandatory ""Supported Versions"" extension from the ClientHello message to test server response to missing critical extensions.)

{CMC} (Send a ClientHello message with an invalid format for the ""Cipher Suites"" field, such as non-existent or malformed cipher identifiers.)
```"
147,Changes in TLS 1.3,"In TLS 1.3, the CertificateRequest message expresses acceptable signature algorithms and certificate authorities through specific extensions, differing from prior versions.",0,Skip,Skip,Skip
148,PSK Authentication Constraints,"Servers authenticating with a PSK must not send the CertificateRequest message in the main handshake but may do so in post-handshake authentication if the client has sent the ""post_handshake_auth"" extension.",1,"<SMC> <1> (Servers MUST NOT send the CertificateRequest message in the main handshake when authenticating with a PSK.) + <CMP> <1> (Clients MAY receive a CertificateRequest message during post-handshake authentication if the ""post_handshake_auth"" extension was sent.)","<SMC> <1> (Servers MUST NOT send the CertificateRequest message in the main handshake when authenticating with a PSK.) + <CMP> <1> (Clients MAY receive a CertificateRequest message during post-handshake authentication if the ""post_handshake_auth"" extension was sent.)","```markdown
{CMC} (Send a ClientHello message without the required ""psk_key_exchange_modes"" extension when a PSK is expected.)

{CMC} (Include unsupported cipher suites in the ClientHello message while a CertificateRequest is anticipated.)

{CMC} (Send a ClientHello message with an invalid ""post_handshake_auth"" extension that does not conform to the expected format.)
```"
149,Authentication Messages Overview,"TLS generally uses a common set of messages for authentication, key confirmation, and handshake integrity: Certificate, CertificateVerify, and Finished. These messages are always sent as the last messages in their handshake flight.",0,Skip,Skip,Skip
150,Message Encryption,These messages are encrypted under keys derived from the sender's handshake traffic secret.,0,Skip,Skip,Skip
151,Input Computations for Authentication Messages,"The computations for the Authentication messages take the certificate and signing key, a Handshake Context consisting of the set of messages for the transcript hash, and a Base Key for computing a MAC key.",0,Skip,Skip,Skip
152,Certificate Message Details,The Certificate message includes the certificate for authentication and any supporting certificates in the chain. Note that certificate-based client authentication is not available in PSK handshake flows (including 0-RTT).,0,Skip,Skip,Skip
153,CertificateVerify Message Details,"The CertificateVerify message contains a signature over the value Transcript-Hash(Handshake Context, Certificate).",0,Skip,Skip,Skip
154,Finished Message Details,"The Finished message includes a MAC over the value Transcript-Hash(Handshake Context, Certificate, CertificateVerify) using a MAC key derived from the Base Key.",0,Skip,Skip,Skip
155,Handshake Context and MAC Base Key Definitions,"The table defines the Handshake Context and MAC Base Key for each scenario, including modes for Server, Client, and Post-Handshake.",0,Skip,Skip,Skip
156,Transcript Hash Purpose,"Many of the cryptographic computations in TLS make use of a transcript hash, computed by hashing the concatenation of each included handshake message, including the message header but not record layer headers.",0,Skip,Skip,Skip
157,Transcript Hash Computation,"The transcript hash is computed as Transcript-Hash(M1, M2, ... Mn) = Hash(M1 || M2 || ... || Mn).",0,Skip,Skip,Skip
158,Handling HelloRetryRequest,"When the server responds to a ClientHello with a HelloRetryRequest, ClientHello1 is replaced with a synthetic handshake message of type ""message_hash"" containing Hash(ClientHello1).",0,Skip,Skip,Skip
159,Stateless HelloRetryRequest Explanation,"This construction allows the server to perform a stateless HelloRetryRequest by storing just the hash of ClientHello1 in the cookie, avoiding the need to export the entire intermediate hash state.",0,Skip,Skip,Skip
160,Sequence of Handshake Messages,"The transcript hash is taken from a specific sequence of handshake messages, starting at the first ClientHello and including messages such as ServerHello and client Finished.",0,Skip,Skip,Skip
161,Implementation Note,"Implementations can keep a running transcript hash value based on the negotiated hash, noting that post-handshake authentications do not include each other.",0,Skip,Skip,Skip
162,Error,Error: Sending request HandleBotLandingPageQuery failed.  Error log: RemoteProtocolError('Server disconnected'),0,Skip,Skip,Skip
163,OCSP Response Negotiation,"RFC6066 and RFC6961 provide extensions to negotiate the server sending OCSP responses to the client. In TLS 1.2 and below, the server replies with an empty extension to indicate negotiation of this extension, and the OCSP information is carried in a CertificateStatus message. In TLS 1.3, the server's OCSP information is carried in an extension in the CertificateEntry containing the associated certificate.",0,Skip,Skip,Skip
164,CertificateStatus Structure,"Specifically, the body of the ""status_request"" extension from the server MUST be a CertificateStatus structure as defined in RFC6066, which is interpreted as defined in RFC6960.",1,"<SMC> <1> (Servers MUST include a CertificateStatus structure in the body of the ""status_request"" extension.) + <CMP> <1> (Clients MUST interpret the CertificateStatus structure as defined in RFC6960.)","<SMC> <1> (Servers MUST include a CertificateStatus structure in the body of the ""status_request"" extension.) + <CMP> <1> (Clients MUST interpret the CertificateStatus structure as defined in RFC6960.)","```markdown
{CMC} (Send a ClientHello without the ""status_request"" extension, which is required for CertificateStatus inclusion.)
{CMC} (Include a malformed ""status_request"" extension in the ClientHello that does not conform to the expected structure defined in RFC 8446.)
{CMC} (Send a ClientHello with an empty or null CertificateStatus structure in the ""status_request"" extension.)
```"
165,Deprecation of status_request_v2,"The status_request_v2 extension [RFC6961] is deprecated. TLS 1.3 servers MUST NOT act upon its presence or information in it when processing ClientHello messages; they MUST NOT send the status_request_v2 extension in the EncryptedExtensions, CertificateRequest, or Certificate messages. TLS 1.3 servers MUST be able to process ClientHello messages that include it, as it MAY be sent by clients that wish to use it in earlier protocol versions.",1,"<SMC> <1> (Servers MUST NOT act upon the presence of the status_request_v2 extension in ClientHello messages.) + <CMP> <1> (Clients MAY send the status_request_v2 extension in ClientHello messages for earlier protocol versions.)  
<SMC> <1> (Servers MUST NOT send the status_request_v2 extension in the EncryptedExtensions, CertificateRequest, or Certificate messages.) + <CMP> <1> (Clients MAY include the status_request_v2 extension in ClientHello messages.)  
<SMC> <1> (Servers MUST be able to process ClientHello messages that include the status_request_v2 extension.) + <CMP> <1> (Clients MAY send the status_request_v2 extension in ClientHello messages for earlier protocol versions.)  ",<SMC> <1> (Servers MUST NOT act upon the presence of the status_request_v2 extension in ClientHello messages.) + <CMP> <1> (Clients MAY send the status_request_v2 extension in ClientHello messages for earlier protocol versions.),"```markdown
{CMC} (Send a ClientHello message with a malformed status_request_v2 extension that includes an invalid or unexpected format.)

{CMC} (Send a ClientHello message that contains multiple conflicting status_request_v2 extensions.)

{CMC} (Send a ClientHello message with the status_request_v2 extension but omit the required extension data field.)
```"
